,Date,Open,High,Low,Close,Volume
,"Aug 2, 2021",146.36,146.95,145.25,145.52,"62,879,961"
,"Aug 3, 2021",145.81,148.04,145.18,147.36,"64,786,618"
,"Aug 4, 2021",147.27,147.79,146.28,146.95,"56,368,271"
,"Aug 5, 2021",146.98,147.84,146.17,147.06,"46,397,674"
,"Aug 6, 2021",146.35,147.11,145.63,146.14,"54,126,813"
,"Aug 9, 2021",146.20,146.70,145.52,146.09,"48,908,689"
,"Aug 10, 2021",146.44,147.71,145.30,145.60,"69,023,081"
,"Aug 11, 2021",146.05,146.72,145.53,145.86,"48,493,463"
,"Aug 12, 2021",146.19,149.05,145.84,148.89,"73,779,113"
,"Aug 13, 2021",148.97,149.44,148.27,149.10,"59,375,009"
,"Aug 16, 2021",148.54,151.19,146.47,151.12,"103,558,782"
,"Aug 17, 2021",150.23,151.68,149.09,150.19,"92,229,735"
,"Aug 18, 2021",149.80,150.72,146.15,146.36,"86,325,990"
,"Aug 19, 2021",145.03,148.00,144.50,146.70,"86,960,310"
,"Aug 20, 2021",147.44,148.50,146.78,148.19,"60,549,630"
,"Aug 23, 2021",148.31,150.19,147.89,149.71,"60,131,810"
,"Aug 24, 2021",149.45,150.86,149.15,149.62,"48,606,428"
,"Aug 25, 2021",149.81,150.32,147.80,148.36,"58,991,297"
,"Aug 26, 2021",148.35,149.12,147.51,147.54,"48,597,195"
,"Aug 27, 2021",147.48,148.75,146.83,148.60,"55,802,388"
,"Aug 30, 2021",149.00,153.49,148.61,153.12,"90,956,723"
,"Aug 31, 2021",152.66,152.80,151.29,151.83,"86,453,117"
,"Sep 1, 2021",152.83,154.98,152.34,152.51,"80,313,711"
,"Sep 2, 2021",153.87,154.72,152.40,153.65,"71,171,317"
,"Sep 3, 2021",153.76,154.63,153.09,154.30,"57,866,066"
,"Sep 7, 2021",154.97,157.26,154.39,156.69,"82,278,261"
,"Sep 8, 2021",156.98,157.04,153.98,155.11,"74,420,207"
,"Sep 9, 2021",155.49,156.11,153.95,154.07,"57,305,730"
,"Sep 10, 2021",155.00,155.48,148.70,148.97,"140,893,235"
,"Sep 13, 2021",150.63,151.42,148.75,149.55,"102,404,329"
,"Sep 14, 2021",150.35,151.07,146.91,148.12,"109,296,295"
,"Sep 15, 2021",148.56,149.44,146.37,149.03,"83,281,315"
,"Sep 16, 2021",148.44,148.97,147.22,148.79,"68,034,149"
,"Sep 17, 2021",148.82,148.82,145.76,146.06,"129,868,824"
,"Sep 20, 2021",143.80,144.84,141.27,142.94,"123,478,863"
,"Sep 21, 2021",143.93,144.60,142.78,143.43,"75,833,962"
,"Sep 22, 2021",144.45,146.43,143.70,145.85,"76,404,341"
,"Sep 23, 2021",146.65,147.08,145.64,146.83,"64,838,170"
,"Sep 24, 2021",145.66,147.47,145.56,146.92,"53,477,869"
,"Sep 27, 2021",145.47,145.96,143.82,145.37,"74,150,729"
,"Sep 28, 2021",143.25,144.75,141.69,141.91,"108,972,340"
,"Sep 29, 2021",142.47,144.45,142.03,142.83,"74,602,044"
,"Sep 30, 2021",143.66,144.38,141.28,141.50,"89,056,664"
,"Oct 1, 2021",141.90,142.92,139.11,142.65,"94,639,581"
,"Oct 4, 2021",141.76,142.21,138.27,139.14,"98,322,008"
,"Oct 5, 2021",139.49,142.24,139.36,141.11,"80,861,062"
,"Oct 6, 2021",139.47,142.15,138.37,142.00,"83,221,119"
,"Oct 7, 2021",143.06,144.22,142.72,143.29,"61,732,656"
,"Oct 8, 2021",144.03,144.18,142.56,142.90,"58,773,155"
,"Oct 11, 2021",142.27,144.81,141.81,142.81,"64,452,219"
,"Oct 12, 2021",143.23,143.25,141.04,141.51,"73,035,859"
,"Oct 13, 2021",141.24,141.40,139.20,140.91,"78,762,721"
,"Oct 14, 2021",142.11,143.88,141.51,143.76,"69,907,100"
,"Oct 15, 2021",143.77,144.90,143.51,144.84,"67,940,334"
,"Oct 18, 2021",143.45,146.84,143.16,146.55,"85,589,175"
,"Oct 19, 2021",147.01,149.17,146.55,148.76,"76,378,894"
,"Oct 20, 2021",148.70,149.75,148.12,149.26,"58,418,788"
,"Oct 21, 2021",148.81,149.64,147.87,149.48,"61,420,990"
,"Oct 22, 2021",149.69,150.18,148.64,148.69,"58,883,443"
,"Oct 25, 2021",148.68,149.37,147.62,148.64,"50,720,556"
,"Oct 26, 2021",149.33,150.84,149.01,149.32,"60,893,395"
,"Oct 27, 2021",149.36,149.73,148.49,148.85,"56,094,929"
,"Oct 28, 2021",149.82,153.17,149.72,152.57,"100,077,888"
,"Oct 29, 2021",147.22,149.94,146.41,149.80,"124,953,168"
,"Nov 1, 2021",148.99,149.70,147.80,148.96,"74,588,258"
,"Nov 2, 2021",148.66,151.57,148.65,150.02,"69,121,987"
,"Nov 3, 2021",150.39,151.97,149.82,151.49,"54,511,534"
,"Nov 4, 2021",151.58,152.43,150.64,150.96,"60,394,616"
,"Nov 5, 2021",151.89,152.20,150.06,151.28,"65,463,883"
,"Nov 8, 2021",151.41,151.57,150.16,150.44,"55,020,868"
,"Nov 9, 2021",150.20,151.43,150.06,150.81,"56,787,930"
,"Nov 10, 2021",150.02,150.13,147.85,147.92,"65,187,092"
,"Nov 11, 2021",148.96,149.43,147.68,147.87,"40,999,950"
,"Nov 12, 2021",148.43,150.40,147.48,149.99,"63,804,008"
,"Nov 15, 2021",150.37,151.88,149.43,150.00,"59,222,803"
,"Nov 16, 2021",149.94,151.49,149.34,151.00,"59,256,210"
,"Nov 17, 2021",151.00,155.00,150.99,153.49,"88,807,000"
,"Nov 18, 2021",153.71,158.67,153.05,157.87,"137,827,673"
,"Nov 19, 2021",157.65,161.02,156.53,160.55,"117,305,597"
,"Nov 22, 2021",161.68,165.70,161.00,161.02,"117,467,889"
,"Nov 23, 2021",161.12,161.80,159.06,161.41,"96,041,899"
,"Nov 24, 2021",160.75,162.14,159.64,161.94,"69,463,623"
,"Nov 26, 2021",159.57,160.45,156.36,156.81,"76,959,752"
,"Nov 29, 2021",159.37,161.19,158.79,160.24,"88,748,217"
,"Nov 30, 2021",159.99,165.52,159.92,165.30,"174,048,056"
,"Dec 1, 2021",167.48,170.30,164.53,164.77,"152,423,003"
,"Dec 2, 2021",158.74,164.20,157.80,163.76,"136,739,174"
,"Dec 3, 2021",164.02,164.96,159.72,161.84,"118,023,116"
,"Dec 6, 2021",164.29,167.88,164.28,165.32,"107,496,982"
,"Dec 7, 2021",169.08,171.58,168.34,171.18,"120,405,352"
,"Dec 8, 2021",172.13,175.96,170.70,175.08,"116,998,901"
,"Dec 9, 2021",174.91,176.75,173.92,174.56,"108,923,739"
,"Dec 10, 2021",175.21,179.63,174.69,179.45,"115,402,731"
,"Dec 13, 2021",181.12,182.13,175.53,175.74,"153,237,019"
,"Dec 14, 2021",175.25,177.74,172.21,174.33,"139,380,382"
,"Dec 15, 2021",175.11,179.50,172.31,179.30,"131,063,257"
,"Dec 16, 2021",179.28,181.14,170.75,172.26,"150,185,843"
,"Dec 17, 2021",169.93,173.47,169.69,171.14,"195,923,441"
,"Dec 20, 2021",168.28,170.58,167.46,169.75,"107,499,114"
,"Dec 21, 2021",171.56,173.20,169.12,172.99,"91,185,905"
,"Dec 22, 2021",173.04,175.86,172.15,175.64,"92,135,303"
,"Dec 23, 2021",175.85,176.85,175.27,176.28,"68,356,567"
,"Dec 27, 2021",177.09,180.42,177.07,180.33,"74,919,582"
,"Dec 28, 2021",180.16,181.33,178.53,179.29,"79,144,339"
,"Dec 29, 2021",179.33,180.63,178.14,179.38,"62,348,931"
,"Dec 30, 2021",179.47,180.57,178.09,178.20,"59,773,014"
,"Dec 31, 2021",178.09,179.23,177.26,177.57,"64,062,261"
,"Jan 3, 2022",177.83,182.88,177.71,182.01,"104,701,220"
,"Jan 4, 2022",182.63,182.94,179.12,179.70,"99,310,438"
,"Jan 5, 2022",179.61,180.17,174.64,174.92,"94,537,602"
,"Jan 6, 2022",172.70,175.30,171.64,172.00,"96,903,955"
,"Jan 7, 2022",172.89,174.14,171.03,172.17,"86,709,147"
,"Jan 10, 2022",169.08,172.50,168.17,172.19,"106,765,552"
,"Jan 11, 2022",172.32,175.18,170.82,175.08,"76,138,312"
,"Jan 12, 2022",176.12,177.18,174.82,175.53,"74,805,173"
,"Jan 13, 2022",175.78,176.62,171.79,172.19,"84,505,760"
,"Jan 14, 2022",171.34,173.78,171.09,173.07,"80,440,780"
,"Jan 18, 2022",171.51,172.54,169.41,169.80,"91,168,729"
,"Jan 19, 2022",170.00,171.08,165.94,166.23,"94,814,990"
,"Jan 20, 2022",166.98,169.68,164.18,164.51,"91,420,515"
,"Jan 21, 2022",164.42,166.33,162.30,162.41,"122,848,858"
,"Jan 24, 2022",160.02,162.30,154.70,161.62,"162,706,686"
,"Jan 25, 2022",158.98,162.76,157.02,159.78,"115,798,367"
,"Jan 26, 2022",163.50,164.39,157.82,159.69,"108,275,308"
,"Jan 27, 2022",162.45,163.84,158.28,159.22,"121,954,638"
,"Jan 28, 2022",165.71,170.35,162.80,170.33,"179,935,660"
,"Jan 31, 2022",170.16,175.00,169.51,174.78,"115,541,590"
,"Feb 1, 2022",174.01,174.84,172.31,174.61,"86,213,911"
,"Feb 2, 2022",174.75,175.88,173.33,175.84,"84,914,256"
,"Feb 3, 2022",174.48,176.24,172.12,172.90,"89,418,074"
,"Feb 4, 2022",171.68,174.10,170.68,172.39,"82,465,400"
,"Feb 7, 2022",172.86,173.95,170.95,171.66,"77,251,204"
,"Feb 8, 2022",171.73,175.35,171.43,174.83,"74,829,217"
,"Feb 9, 2022",176.05,176.65,174.90,176.28,"71,285,038"
,"Feb 10, 2022",174.14,175.48,171.55,172.12,"90,865,899"
,"Feb 11, 2022",172.33,173.08,168.04,168.64,"98,670,687"
,"Feb 14, 2022",167.37,169.58,166.56,168.88,"86,185,530"
