Date,Open,High,Low,Close,Volume
"Aug 2, 2021",237.28,240.38,233.80,235.40,"2,151,346"
"Aug 3, 2021",233.87,235.69,226.91,230.18,"2,850,545"
"Aug 4, 2021",231.06,245.47,229.85,244.36,"3,684,694"
"Aug 5, 2021",239.76,258.31,237.59,255.50,"6,017,849"
"Aug 6, 2021",255.50,263.90,250.23,258.26,"5,579,943"
"Aug 9, 2021",267.85,282.43,267.50,280.47,"8,892,383"
"Aug 10, 2021",280.67,281.50,264.25,269.67,"7,723,436"
"Aug 11, 2021",282.34,294.00,274.35,278.40,"13,998,306"
"Aug 12, 2021",266.39,267.75,255.20,256.50,"8,266,747"
"Aug 13, 2021",262.82,266.50,259.97,261.25,"4,472,802"
"Aug 16, 2021",265.26,265.43,253.60,256.83,"3,241,136"
"Aug 17, 2021",253.14,260.74,246.23,250.80,"3,101,977"
"Aug 18, 2021",249.00,254.40,243.76,244.39,"2,564,969"
"Aug 19, 2021",240.60,249.77,239.19,248.24,"3,247,230"
"Aug 20, 2021",252.00,260.62,251.42,257.32,"4,031,097"
"Aug 23, 2021",263.67,266.50,255.00,256.00,"5,705,279"
"Aug 24, 2021",256.99,260.25,253.20,259.28,"3,982,757"
"Aug 25, 2021",257.00,262.11,256.00,256.77,"2,675,110"
"Aug 26, 2021",253.21,255.20,248.50,248.54,"3,038,888"
"Aug 27, 2021",249.39,259.67,248.09,259.12,"3,201,369"
"Aug 30, 2021",256.35,263.34,256.25,262.66,"2,687,570"
"Aug 31, 2021",260.02,263.40,257.18,259.00,"2,493,804"
"Sep 1, 2021",260.31,272.10,258.63,265.90,"4,789,631"
"Sep 2, 2021",272.54,275.66,266.00,268.18,"3,736,924"
"Sep 3, 2021",272.00,280.61,270.03,278.44,"4,438,250"
"Sep 7, 2021",277.00,278.87,262.60,266.81,"5,173,032"
"Sep 8, 2021",257.00,262.95,253.88,258.20,"4,507,574"
"Sep 9, 2021",260.30,263.81,255.70,256.42,"3,074,527"
"Sep 10, 2021",257.31,258.87,247.40,248.32,"3,191,273"
"Sep 13, 2021",246.51,251.88,239.60,242.84,"4,021,434"
"Sep 14, 2021",247.25,248.79,241.27,243.00,"2,748,872"
"Sep 15, 2021",244.00,249.47,242.05,247.07,"2,148,260"
"Sep 16, 2021",247.38,247.46,239.61,243.21,"2,596,793"
"Sep 17, 2021",243.13,245.63,238.75,245.19,"2,947,971"
"Sep 20, 2021",234.45,237.36,231.15,236.53,"4,192,592"
"Sep 21, 2021",237.01,240.26,234.26,238.46,"2,174,748"
"Sep 22, 2021",239.91,243.20,237.76,241.85,"1,660,175"
"Sep 23, 2021",244.57,245.80,237.07,237.50,"3,151,330"
"Sep 24, 2021",231.00,235.31,229.17,231.82,"3,699,987"
"Sep 27, 2021",231.88,233.40,227.35,232.24,"3,234,810"
"Sep 28, 2021",229.68,232.51,227.52,229.84,"3,231,210"
"Sep 29, 2021",231.00,233.77,225.04,225.28,"2,547,285"
"Sep 30, 2021",227.00,229.99,225.28,227.48,"2,522,537"
"Oct 1, 2021",232.89,235.76,226.93,231.15,"3,457,269"
"Oct 4, 2021",231.49,233.10,224.51,229.31,"2,591,132"
"Oct 5, 2021",231.35,240.09,230.79,240.09,"2,994,406"
"Oct 6, 2021",242.40,252.14,242.20,250.38,"5,747,679"
"Oct 7, 2021",248.00,253.00,245.65,251.59,"3,213,151"
"Oct 8, 2021",253.53,256.18,246.90,248.14,"2,873,719"
"Oct 11, 2021",249.57,263.19,248.49,256.50,"4,945,286"
"Oct 12, 2021",254.26,256.37,246.08,249.33,"3,971,908"
"Oct 13, 2021",246.50,249.73,244.56,246.78,"2,886,897"
"Oct 14, 2021",250.90,262.95,249.10,260.00,"6,307,081"
"Oct 15, 2021",266.60,281.72,266.53,280.61,"9,517,534"
"Oct 18, 2021",275.74,296.98,271.50,293.34,"11,801,121"
"Oct 19, 2021",300.00,307.85,294.11,305.63,"14,785,678"
"Oct 20, 2021",306.66,317.37,303.96,314.71,"10,315,292"
"Oct 21, 2021",311.96,317.18,298.00,300.01,"8,289,150"
"Oct 22, 2021",302.00,306.00,293.62,300.84,"5,437,345"
"Oct 25, 2021",306.76,327.00,305.11,325.54,"8,444,881"
"Oct 26, 2021",328.15,328.48,315.51,319.49,"7,635,766"
"Oct 27, 2021",309.33,320.28,306.50,311.67,"5,253,293"
"Oct 28, 2021",319.81,327.72,311.00,319.13,"5,952,310"
"Oct 29, 2021",319.32,326.50,316.14,319.42,"3,766,383"
"Nov 1, 2021",324.77,338.43,323.90,330.99,"6,255,938"
"Nov 2, 2021",336.33,345.25,332.14,336.34,"6,104,746"
"Nov 3, 2021",335.26,344.47,328.31,344.38,"4,809,761"
"Nov 4, 2021",340.74,345.85,333.88,344.45,"5,893,705"
"Nov 5, 2021",345.23,345.23,333.44,337.05,"3,527,615"
"Nov 8, 2021",349.50,363.17,345.56,353.92,"8,531,091"
"Nov 9, 2021",367.39,368.90,345.06,357.39,"10,153,706"
"Nov 10, 2021",327.22,348.98,320.00,328.60,"15,168,856"
"Nov 11, 2021",327.43,342.49,327.00,336.39,"4,905,822"
"Nov 12, 2021",339.25,344.00,332.56,342.98,"4,469,896"
"Nov 15, 2021",345.10,355.20,339.03,345.36,"4,465,702"
"Nov 16, 2021",333.14,347.40,331.58,342.12,"4,128,078"
"Nov 17, 2021",342.03,348.49,338.18,346.52,"3,772,131"
"Nov 18, 2021",343.00,344.84,323.41,323.57,"5,408,786"
"Nov 19, 2021",325.56,339.41,325.40,332.55,"3,687,652"
