Date,Open,High,Low,Close
12/31/2019,"1,013.92","1,016.11","1,012.07","1,014.92"
12/30/2019,"1,021.62","1,021.74","1,015.01","1,017.07"
12/27/2019,"1,025.09","1,026.03","1,020.29","1,022.01"
12/24/2019,"1,020.10","1,022.77","1,017.52","1,022.77"
12/23/2019,"1,022.61","1,023.90","1,018.87","1,020.33"
12/20/2019,"1,015.44","1,024.20","1,018.22","1,021.01"
12/19/2019,"1,016.02","1,018.63","1,014.79","1,017.27"
12/18/2019,"1,017.54","1,017.37","1,013.66","1,015.58"
12/17/2019,"1,018.41","1,019.73","1,015.80","1,018.78"
12/16/2019,"1,017.58","1,020.50","1,016.83","1,017.96"
12/13/2019,"1,013.56","1,017.95","1,011.08","1,015.49"
12/12/2019,"1,011.14","1,017.59","1,011.51","1,012.93"
12/11/2019,"1,011.68","1,015.05","1,009.47","1,011.37"
12/10/2019,"1,011.12","1,012.51","1,008.18","1,011.40"
12/09/2019,"1,014.36","1,015.65","1,010.74","1,011.42"
12/06/2019,"1,010.02","1,016.46","1,010.39","1,015.09"
12/05/2019,"1,007.79","1,008.00","1,002.48","1,004.87"
12/04/2019,"1,008.56","1,013.33","1,008.75","1,009.00"
12/03/2019,"1,009.73","1,010.25","1,006.67","1,008.96"
12/02/2019,"1,019.88","1,020.25","1,011.52","1,015.14"
11/29/2019,"1,022.70","1,024.10","1,018.62","1,018.62"
11/28/2019,"1,021.91","1,024.47","1,021.39","1,023.67"
11/27/2019,"1,020.13","1,023.25","1,018.16","1,022.95"
11/26/2019,"1,018.02","1,020.09","1,015.24","1,019.15"
11/25/2019,"1,015.70","1,020.17","1,015.67","1,019.30"
11/22/2019,"1,018.47","1,018.31","1,013.47","1,014.48"
11/21/2019,"1,018.52","1,018.59","1,013.81","1,017.57"
11/20/2019,"1,018.21","1,020.30","1,014.89","1,017.79"
11/19/2019,"1,019.81","1,020.64","1,015.37","1,019.05"
11/18/2019,"1,017.03","1,019.50","1,017.31","1,019.47"
11/15/2019,"1,016.67","1,019.86","1,016.02","1,019.86"
11/14/2019,"1,016.13","1,017.22","1,013.48","1,015.68"
11/13/2019,"1,010.73","1,017.91","1,010.98","1,016.03"
11/12/2019,"1,012.10","1,014.41","1,011.03","1,012.97"
11/11/2019,"1,008.07","1,011.89","1,007.21","1,011.04"
11/08/2019,"1,004.27","1,010.66","1,005.34","1,010.54"
11/07/2019,"1,004.64","1,007.17","1,004.19","1,005.61"
11/06/2019,"999.13","1,002.86","997.33","1,001.56"
11/05/2019,"996.97","999.43","996.70","998.31"
11/04/2019,"997.22","998.33","995.80","997.56"
11/01/2019,"989.87","994.16","989.43","992.95"
10/31/2019,"987.95","987.26","981.53","986.33"
10/30/2019,"982.95","989.12","980.09","989.12"
10/29/2019,"977.30","985.51","976.98","983.07"
10/28/2019,"983.24","984.68","981.39","981.39"
10/25/2019,"978.47","982.79","977.83","981.54"
10/24/2019,"980.21","981.93","976.83","979.32"
10/23/2019,"978.27","981.39","975.31","976.96"
10/22/2019,"985.22","987.36","981.11","981.11"
10/21/2019,"982.05","984.24","982.39","982.93"
